DATE,T10YIEM
2003-01-01,1.7
2004-01-01,2.2
2005-01-01,2.5
2006-01-01,2.4
2007-01-01,2.3
2008-01-01,2.2
2009-01-01,0.6
2010-01-01,2.3
2011-01-01,2.3
2012-01-01,2.0
2013-01-01,2.5
2014-01-01,2.2
2015-01-01,1.6
2016-01-01,1.4
2017-01-01,2.0
2018-01-01,2.0
2019-01-01,1.7
2020-01-01,1.7
2021-01-01,2.0
